selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
11.002116507732017,0.08678300714854241,3,0,0,0,0.46428571428571425
11.813037464800539,0.06198750802754284,3,0,0,0,0.46428571428571425
13.304686600863562,0.12397625583004174,4,0,0,0,0.2857142857142857
12.429220196836383,0.05702840820334293,3,0,0,0,0.10714285714285715
13.017005083966255,0.1748070290280908,4,0,0,1,0.21428571428571425
11.849404844423074,0.15497062973129117,3,0,0,0,0.46428571428571425
13.217675375388819,0.030993134126293394,3,0,0,0,0.14285714285714285
12.388398368982115,0.07438525758804262,3,0,0,1,0.21428571428571425
13.652992804936396,0.030993134126293394,3,0,0,0,0.17857142857142855
12.807655372286902,0.09670120679694223,2,0,0,0,0.10714285714285715
12.468440756144114,0.043390883686793176,3,0,0,0,0.17857142857142855
12.429220196836383,0.12397625583004174,3,0,0,0,0.21428571428571425
14.316286451937186,0.030993134126293394,3,1,1,0,0.07142857142857142
13.279368835614243,0.029753359170243417,3,1,0,0,0.17857142857142855
13.993657580167481,0.006197635005293839,4,1,0,0,0.0357142857142857
12.873904582205107,0.04091133377469322,4,0,0,1,0.25
14.491002803285499,0.03471245899444333,4,1,1,0,0.21428571428571425
14.169683073439028,0.07314548263199265,4,1,1,0,0.25
13.790193775620484,0.00557774752726885,4,1,1,0,0.07142857142857142
13.989464705423494,0.21807517499423504,4,1,1,0,0.3214285714285714
13.742940940397677,0.01797549708776863,3,1,0,0,0.07142857142857142
13.171155446333852,0.018595384565793616,3,0,0,0,0.07142857142857142
14.366518547731806,0.06198750802754284,4,1,1,0,0.25
14.13396501635527,0.041903153739533204,4,1,1,1,0.2857142857142857
13.017005083966255,0.16166541449396105,4,1,1,1,0.3214285714285714
13.710151153416941,0.06198750802754284,3,0,1,0,0.14285714285714285
14.077875591662238,0.09918075670904218,4,0,0,0,0.17857142857142855
14.151983508870947,0.012396509785543727,3,0,0,0,0.0357142857142857
13.652992804936396,0.14753197999499132,3,1,1,0,0.35714285714285715
12.345834587905333,0.07438525758804262,3,0,0,3,0.21428571428571425
14.253766134056512,0.09397370189363229,4,1,1,1,0.25
